city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Boise,Boise,,47.1804,-122.0157,United States,US,USA,Washington,Washington,US-WA,state,,118.0,,,4,America/Los_Angeles,False,1840037748
Hat Island,Hat Island,,48.013,-122.3201,United States,US,USA,Washington,Washington,US-WA,state,,35.0,63.0,63.0,3,America/Los_Angeles,False,1840041926
Kapowsin,Kapowsin,,46.9727,-122.2272,United States,US,USA,Washington,Washington,US-WA,state,,12.0,129.0,129.0,3,America/Los_Angeles,False,1840023832
Wheeler,Wheeler,,47.1349,-119.176,United States,US,USA,Washington,Washington,US-WA,state,,9.9,,,3,America/Los_Angeles,False,1840037601
Sunland Estates,Sunland Estates,,47.0741,-120.0283,United States,US,USA,Washington,Washington,US-WA,state,,113.4,,,3,America/Los_Angeles,False,1840148425
Marine View,Marine View,,46.9637,-119.3508,United States,US,USA,Washington,Washington,US-WA,state,,9.4,,,3,America/Los_Angeles,False,1840148426
Roche Harbor,Roche Harbor,,48.6092,-123.1335,United States,US,USA,Washington,Washington,US-WA,state,,52.5,,,3,America/Los_Angeles,False,1840120741
Key Center,Key Center,,47.3376,-122.7505,United States,US,USA,Washington,Washington,US-WA,state,,100.0,3806.0,3806.0,3,America/Los_Angeles,False,1840023833
Dulwich,Dulwich,,48.8474,-118.1975,United States,US,USA,Washington,Washington,US-WA,state,,4.8,,,5,America/Los_Angeles,False,1840120492
Birch Bay,Birch Bay,,48.923,-122.7543,United States,US,USA,Washington,Washington,US-WA,state,,224.0,9323.0,9323.0,3,America/Los_Angeles,False,1840017289
Brier,Brier,,47.7924,-122.2734,United States,US,USA,Washington,Washington,US-WA,state,,1225.0,6970.0,6970.0,3,America/Los_Angeles,False,1840018379
Wanapum Village,Wanapum Village,,46.8612,-119.9473,United States,US,USA,Washington,Washington,US-WA,state,,63.1,,,4,America/Los_Angeles,False,1840120355
Wapato,Wapato,,46.4435,-120.4215,United States,US,USA,Washington,Washington,US-WA,state,,1635.0,7627.0,5010.0,3,America/Los_Angeles,False,1840021153
Warden,Warden,,46.9672,-119.0523,United States,US,USA,Washington,Washington,US-WA,state,,369.0,2812.0,2812.0,3,America/Los_Angeles,False,1840021103
Ocean Park,Ocean Park,,46.4961,-124.0443,United States,US,USA,Washington,Washington,US-WA,state,,222.0,1745.0,1745.0,3,America/Los_Angeles,False,1840018468
Busby,Busby,,46.6924,-117.1504,United States,US,USA,Washington,Washington,US-WA,state,,4.7,,,5,America/Los_Angeles,False,1840119678
Burrows,Burrows,,47.0565,-124.0371,United States,US,USA,Washington,Washington,US-WA,state,,4.2,,,5,America/Los_Angeles,False,1840119676
Burr,Burr,,46.4621,-118.6303,United States,US,USA,Washington,Washington,US-WA,state,,0.0,,,5,America/Los_Angeles,False,1840119675
Camden,Camden,,48.0474,-117.2399,United States,US,USA,Washington,Washington,US-WA,state,,18.4,,,4,America/Los_Angeles,False,1840037533
Cactus,Cactus,,46.6099,-118.9328,United States,US,USA,Washington,Washington,US-WA,state,,0.2,,,5,America/Los_Angeles,False,1840119680
Green River,Green River,,47.2887,-122.0893,United States,US,USA,Washington,Washington,US-WA,state,,53.0,,,4,America/Los_Angeles,False,1840119797
West Pasco,West Pasco,,46.2497,-119.1683,United States,US,USA,Washington,Washington,US-WA,state,,395.0,1731.0,1731.0,3,America/Los_Angeles,False,1840037891
West Longview,West Longview,,46.1694,-122.9916,United States,US,USA,Washington,Washington,US-WA,state,,1031.8,,,3,America/Los_Angeles,False,1840136839
Holtzinger,Holtzinger,,46.6776,-120.7206,United States,US,USA,Washington,Washington,US-WA,state,,99.4,,,4,America/Los_Angeles,False,1840120249
Homan,Homan,,45.7004,-122.5829,United States,US,USA,Washington,Washington,US-WA,state,,157.2,,,4,America/Los_Angeles,False,1840120250
Hollywood,Hollywood,,47.7309,-122.1293,United States,US,USA,Washington,Washington,US-WA,state,,506.6,,,4,America/Los_Angeles,False,1840120247
